Country Name,Country Code,2014,2015,2016
Aruba,ABW,,,
Afghanistan,AFG,20050189882,19702986341,19469022208
Angola,AGO,1.26777E+11,1.02962E+11,89633156470
Albania,ALB,13219857459,11390365294,11926892453
Andorra,AND,,,
Arab World,ARB,2.9044E+12,2.56113E+12,2.50093E+12
United Arab Emirates,ARE,4.03198E+11,3.57949E+11,3.48743E+11
Argentina,ARG,5.2632E+11,5.84711E+11,5.45866E+11
Armenia,ARM,11609512940,10529182498,10547331235
American Samoa,ASM,638000000,641000000,
Antigua and Barbuda,ATG,1274330333,1355645889,1449160185
Australia,AUS,1.4596E+12,1.34538E+12,1.20462E+12
Austria,AUT,4.38376E+11,3.76967E+11,3.86428E+11
Azerbaijan,AZE,75244166773,53074370486,37847715736
Burundi,BDI,3093647227,3097324740,3007029030
Belgium,BEL,5.31751E+11,4.54991E+11,4.66366E+11
Benin,BEN,9707432016,8290986804,8583031398
Burkina Faso,BFA,12400688571,11148759325,12115155932
Bangladesh,BGD,1.72885E+11,1.95079E+11,2.21415E+11
Bulgaria,BGR,56732006512,50199117547,52395164027
Bahrain,BHR,33387712766,31125851064,31858510638
"Bahamas, The",BHS,8618000000,8854000000,9047000000
Bosnia and Herzegovina,BIH,18521475376,16173806635,16559695719
Belarus,BLR,78813049850,56454775871,47433442293
Belize,BLZ,1706497950,1742545900,1765256400
Bermuda,BMU,,,
Bolivia,BOL,32996187988,33000198263,33806395514
Brazil,BRA,2.45599E+12,1.80365E+12,1.79619E+12
Barbados,BRB,4352700000,4421800000,4587550000
Brunei Darussalam,BRN,17123125493,12930394938,11400266877
Bhutan,BTN,1958819915,2057947621,2236933238
Botswana,BWA,16259445050,14430608463,15274861068
Central African Republic,CAF,1702898940,1583776760,1756124677
Canada,CAN,1.79288E+12,1.55281E+12,1.52976E+12
Central Europe and the Baltics,CEB,1.46197E+12,1.28154E+12,1.30338E+12
Switzerland,CHE,7.02706E+11,6.7079E+11,6.59827E+11
Channel Islands,CHI,,,
Chile,CHL,2.6099E+11,2.42518E+11,2.47028E+11
China,CHN,1.04824E+13,1.10647E+13,1.11991E+13
Cote d'Ivoire,CIV,35372603446,32828516580,36164644633
Cameroon,CMR,32050817633,28415950981,24204448567
"Congo, Dem. Rep.",COD,34028119333,36188521107,34998638634
"Congo, Rep.",COG,14177437627,8553154506,7833509443
Colombia,COL,3.78196E+11,2.9152E+11,2.82463E+11
Comoros,COM,647720707.1,565689764.6,616654490.5
Cabo Verde,CPV,1858121723,1574288668,1617467436
Costa Rica,CRI,50656002896,54840103850,57435507212
Caribbean small states,CSS,68744227742,66799701062,63540193020
Cuba,CUB,80656100000,87132800000,
Curacao,CUW,,,
Cayman Islands,CYM,,,
Cyprus,CYP,23308212817,19559942331,19801664168
Czech Republic,CZE,2.07818E+11,1.85156E+11,1.92925E+11
Germany,DEU,3.87928E+12,3.3636E+12,3.46676E+12
Djibouti,DJI,1588000000,1727000000,
Dominica,DMA,528178703.7,517218963,525424630
Denmark,DNK,3.52297E+11,3.01308E+11,3.06143E+11
Dominican Republic,DOM,65231032303,68102618092,71583553488
Algeria,DZA,2.13983E+11,1.64779E+11,1.5608E+11
East Asia & Pacific (excluding high income),EAP,1.27481E+13,1.32674E+13,1.35109E+13
Early-demographic dividend,EAR,1.041E+13,1.01234E+13,1.02749E+13
East Asia & Pacific,EAS,2.18941E+13,2.17653E+13,2.24774E+13
Europe & Central Asia (excluding high income),ECA,4.0788E+12,3.1201E+12,2.97912E+12
Europe & Central Asia,ECS,2.36026E+13,2.02784E+13,2.01629E+13
Ecuador,ECU,1.02292E+11,1.00177E+11,97802211000
"Egypt, Arab Rep.",EGY,3.0553E+11,3.32698E+11,3.36297E+11
Euro area,EMU,1.34577E+13,1.16161E+13,1.18857E+13
Eritrea,ERI,,,
Spain,ESP,1.37586E+12,1.19296E+12,1.23209E+12
Estonia,EST,26213940387,22460470490,23136741984
Ethiopia,ETH,55612228234,64464423675,72374252815
European Union,EUU,1.85882E+13,1.63348E+13,1.6398E+13
Fragile and conflict affected situations,FCS,8.42652E+11,7.63933E+11,7.43798E+11
Finland,FIN,2.72609E+11,2.32362E+11,2.36785E+11
Fiji,FJI,4469810099,4391064781,4631626234
France,FRA,2.84931E+12,2.43356E+12,2.46545E+12
Faroe Islands,FRO,,,
"Micronesia, Fed. Sts.",FSM,318072000,314971100,322000000
Gabon,GAB,18179717776,14262032471,14213558130
United Kingdom,GBR,2.99883E+12,2.86109E+12,2.61889E+12
Georgia,GEO,16509305828,13993546732,14332880086
Ghana,GHA,38616536132,37543361204,42689783734
Gibraltar,GIB,,,
Guinea,GIN,6624068016,6699203543,6298927773
"Gambia, The",GMB,849122624.8,938794719.4,964599177.5
Guinea-Bissau,GNB,1109007300,1056776897,1126122708
Equatorial Guinea,GNQ,21461989483,12162117377,10178967206
Greece,GRC,2.3608E+11,1.9486E+11,1.94559E+11
Grenada,GRD,911481481.5,984074074.1,1016208195
Greenland,GRL,2551126949,2220380802,
Guatemala,GTM,58722323918,63767597194,68763255964
Guam,GUM,5566000000,5734000000,
Guyana,GUY,3077086276,3179104116,3446266344
High income,HIC,5.03083E+13,4.74095E+13,4.84076E+13
"Hong Kong SAR, China",HKG,2.91459E+11,3.09404E+11,3.20912E+11
Honduras,HND,19756533658,20844308601,21516915353
Heavily indebted poor countries (HIPC),HPC,6.43086E+11,6.35446E+11,6.41483E+11
Croatia,HRV,57080369368,48676334689,50425333970
Haiti,HTI,8776360623,8724656126,8022638722
Hungary,HUN,1.39295E+11,1.21715E+11,1.24343E+11
IBRD only,IBD,2.72852E+13,2.57835E+13,2.58293E+13
IDA & IBRD total,IBT,2.93604E+13,2.78004E+13,2.78177E+13
IDA total,IDA,2.08252E+12,2.02576E+12,1.99643E+12
IDA blend,IDB,1.04338E+12,9.76615E+11,9.1422E+11
Indonesia,IDN,8.90815E+11,8.61256E+11,9.32259E+11
IDA only,IDX,1.02803E+12,1.04094E+12,1.07791E+12
Isle of Man,IMN,7428280402,,
India,IND,2.03539E+12,2.11175E+12,2.26352E+12
Not classified,INX,,,
Ireland,IRL,2.56271E+11,2.83716E+11,2.94054E+11
"Iran, Islamic Rep.",IRN,4.25326E+11,3.93436E+11,
Iraq,IRQ,2.34648E+11,1.7964E+11,1.71489E+11
Iceland,ISL,17178962757,16783714958,20047413006
Israel,ISR,3.08769E+11,2.99416E+11,3.18744E+11
Italy,ITA,2.15173E+12,1.8249E+12,1.84997E+12
Jamaica,JAM,13897561173,14261995114,14027151473
Jordan,JOR,35826925775,37517410282,38654727746
Japan,JPN,4.84873E+12,4.38308E+12,4.93938E+12
Kazakhstan,KAZ,2.21416E+11,1.84388E+11,1.33657E+11
Kenya,KEN,61445345999,63767539357,70529014778
Kyrgyz Republic,KGZ,7468096567,6678178340,6551287938
Cambodia,KHM,16777820333,18049954289,20016747754
Kiribati,KIR,186066973.1,160121929.2,165765016.4
St. Kitts and Nevis,KNA,847778185.2,876478555.6,916896555.6
"Korea, Rep.",KOR,1.41133E+12,1.38276E+12,1.41125E+12
Kuwait,KWT,1.62632E+11,1.14041E+11,
Latin America & Caribbean (excluding high income),LAC,5.7961E+12,4.91888E+12,4.76116E+12
Lao PDR,LAO,13268297522,14390323462,15903437790
Lebanon,LBN,45730945274,47084703151,47536798648
Liberia,LBR,2013000000,2034000000,2101000000
Libya,LBY,,,
St. Lucia,LCA,1386188630,1431135704,1378627407
Latin America & Caribbean,LCN,6.27627E+12,5.35941E+12,5.20117E+12
Least developed countries: UN classification,LDC,9.36514E+11,9.28999E+11,9.40285E+11
Low income,LIC,4.09946E+11,4.01558E+11,4.05501E+11
Liechtenstein,LIE,6663501419,,
Sri Lanka,LKA,79356456990,80611989527,81321876307
Lower middle income,LMC,6.06738E+12,6.03468E+12,6.25224E+12
Low & middle income,LMY,2.85259E+13,2.70734E+13,2.70967E+13
Lesotho,LSO,2520952363,2335194894,2199709489
Late-demographic dividend,LTE,1.96968E+13,1.84429E+13,1.8429E+13
Lithuania,LTU,48545251796,41402022148,42738875963
Luxembourg,LUX,66298060522,58048242436,59947781147
Latvia,LVA,31352249350,27026037600,27677391316
"Macao SAR, China",MAC,55347998648,45415278647,44802641830
St. Martin (French part),MAF,,,
Morocco,MAR,1.09881E+11,1.00593E+11,1.01445E+11
Monaco,MCO,,,
Moldova,MDA,7983271111,6512899540,6749515655
Madagascar,MDG,10673516673,9738652322,9990653078
Maldives,MDV,3094197810,3435244659,3591112751
Middle East & North Africa,MEA,3.55216E+12,3.15318E+12,3.1115E+12
Mexico,MEX,1.2984E+12,1.15104E+12,1.046E+12
Marshall Islands,MHL,183114100,179432600,183000000
Middle income,MIC,2.81727E+13,2.67205E+13,2.67417E+13
"Macedonia, FYR",MKD,11362272838,10051659161,10899583155
Mali,MLI,14004067516,12746688962,14045098238
Malta,MLT,11188785253,10287007021,10949092472
Myanmar,MMR,65574726566,62600906116,67429590536
Middle East & North Africa (excluding high income),MNA,1.57929E+12,1.44553E+12,
Montenegro,MNE,4587928884,4019889098,4173255531
Mongolia,MNG,12226514746,11741338841,11160356498
Northern Mariana Islands,MNP,836000000,922000000,
Mozambique,MOZ,16961127046,14798399862,11014858592
Mauritania,MRT,5391475878,4844223518,4634588338
Mauritius,MUS,12803445934,11681761261,12164207330
Malawi,MWI,6054750320,6373201160,5441852138
Malaysia,MYS,3.38069E+11,2.96283E+11,2.96359E+11
North America,NAC,1.91918E+13,1.95953E+13,2.01049E+13
Namibia,NAM,12853963143,11491507356,10267157280
New Caledonia,NCL,,,
Niger,NER,8245312137,7142951342,7508986509
Nigeria,NGA,5.68499E+11,4.81066E+11,4.05083E+11
Nicaragua,NIC,11880438824,12747741540,13230844687
Netherlands,NLD,8.79635E+11,7.50318E+11,7.70845E+11
Norway,NOR,4.9834E+11,3.86578E+11,3.70557E+11
Nepal,NPL,20002968838,21313549579,21143873417
Nauru,NRU,117020381.9,100459782.6,102060129.6
New Zealand,NZL,2.00696E+11,1.75564E+11,1.85017E+11
OECD members,OED,4.93188E+13,4.64899E+13,4.73941E+13
Oman,OMN,81034395038,69831770996,66293368010
Other small states,OSS,4.44405E+11,3.68814E+11,3.58773E+11
Pakistan,PAK,2.44361E+11,2.7105E+11,2.8366E+11
Panama,PAN,49165773100,52132289700,55187700000
Peru,PER,2.0105E+11,1.89212E+11,1.92094E+11
Philippines,PHL,2.84585E+11,2.92774E+11,3.04905E+11
Palau,PLW,250900000,287400000,293000000
Papua New Guinea,PNG,16928680397,,
Poland,POL,5.45152E+11,4.77337E+11,4.69509E+11
Pre-demographic dividend,PRE,1.49194E+12,1.2969E+12,1.19474E+12
Puerto Rico,PRI,,,
"Korea, Dem. People¡¯s Rep.",PRK,,,
Portugal,PRT,2.2963E+11,1.99082E+11,2.04565E+11
Paraguay,PRY,30881166852,27282581336,27440632934
West Bank and Gaza,PSE,12715600000,12673000000,13397100000
Pacific island small states,PSS,8780810605,8577127157,8888374720
Post-demographic dividend,PST,4.66852E+13,4.40818E+13,4.50721E+13
French Polynesia,PYF,,,
Qatar,QAT,2.06225E+11,1.64641E+11,1.52469E+11
Romania,ROU,1.99493E+11,1.77523E+11,1.86691E+11
Russian Federation,RUS,2.06366E+12,1.36587E+12,1.28316E+12
Rwanda,RWA,8016288347,8261034258,8376048905
South Asia,SAS,2.5771E+12,2.705E+12,2.89636E+12
Saudi Arabia,SAU,7.5635E+11,6.5427E+11,6.46438E+11
Sudan,SDN,82151588419,97156119150,95584380032
Senegal,SEN,15308965399,13609978076,14765462631
Singapore,SGP,3.08143E+11,2.96841E+11,2.96966E+11
Solomon Islands,SLB,1156563123,1129164719,1202125000
Sierra Leone,SLE,5015157816,4251779857,3668876080
El Salvador,SLV,25054230000,26052340000,26797470000
San Marino,SMR,,,
Somalia,SOM,5647000000,5925000000,6217000000
Serbia,SRB,44210806366,37160332465,37745114708
Sub-Saharan Africa (excluding high income),SSA,1.77364E+12,1.59968E+12,1.49657E+12
