Country Name,Country Code,2013,2014
Aruba,ABW,8.351294252,8.408362638
Afghanistan,AFG,0.315601773,0.299444991
Angola,AGO,1.254617218,1.291328315
Albania,ALB,1.749211079,1.978763312
Andorra,AND,5.900752587,5.832169951
Arab World,ARB,4.650474168,4.860233832
United Arab Emirates,ARE,18.95416379,23.30202251
Argentina,ARG,4.462903755,4.746797455
Armenia,ARM,1.899711734,1.90275891
American Samoa,ASM,,
Antigua and Barbuda,ATG,5.360453467,5.377648546
Australia,AUS,16.10333614,15.39859985
Austria,AUT,7.369137466,6.87371322
Azerbaijan,AZE,3.785068836,3.931560609
Burundi,BDI,0.03017577,0.044485376
Belgium,BEL,8.671352487,8.328159898
Benin,BEN,0.580960914,0.614213852
Burkina Faso,BFA,0.179132409,0.162018806
Bangladesh,BGD,0.442400828,0.459141965
Bulgaria,BGR,5.450695963,5.871615869
Bahrain,BHR,23.80435697,23.44975483
"Bahamas, The",BHS,7.426540134,6.323257512
Bosnia and Herzegovina,BIH,6.080813337,6.234719162
Belarus,BLR,6.736652251,6.701957705
Belize,BLZ,1.491598897,1.407601494
Bermuda,BMU,7.051814587,8.838314988
Bolivia,BOL,1.818997383,1.932419499
Brazil,BRA,2.488417184,2.594388285
Barbados,BRB,5.127146392,4.490177673
Brunei Darussalam,BRN,19.23359197,22.12470124
Bhutan,BTN,1.203220818,1.289321371
Botswana,BWA,2.456718254,3.243287637
Central African Republic,CAF,0.06601109,0.066593111
Canada,CAN,14.71068248,15.1132392
Central Europe and the Baltics,CEB,6.344838262,6.14888254
Switzerland,CHE,4.972835876,4.311562994
Channel Islands,CHI,,
Chile,CHL,4.76586599,4.687376624
China,CHN,7.557211045,7.543907641
Cote d'Ivoire,CIV,0.486455715,0.490206046
Cameroon,CMR,0.312755732,0.314928068
"Congo, Dem. Rep.",COD,0.050339213,0.063369191
"Congo, Rep.",COG,0.649833428,0.635369293
Colombia,COL,1.893103161,1.759537174
Comoros,COM,0.237378287,0.202814119
Cabo Verde,CPV,0.958866077,0.933403237
Costa Rica,CRI,1.614402173,1.630951062
Caribbean small states,CSS,9.138025489,8.884541385
